Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val,Scenario
2016.0,84.41520525436653,100.0,68.83040935672516,0.7683568797865081,63.1578947368421,100.0,30.0,0.9100641637309356,scenario43
2016.0,89.97076087092098,100.0,79.94152046783626,0.7639007976788882,84.21052631578948,100.0,70.0,0.8365720281053006,scenario44
2016.0,85.61403567069455,100.0,71.2280701754386,0.765641762511402,78.94736842105263,100.0,60.0,0.8430565650596588,scenario45
2016.0,96.34502994778909,100.0,92.69005847953215,0.7355837062824653,84.21052631578948,100.0,70.0,0.7816969990476003,scenario46
2016.0,88.94736904062722,100.0,77.89473684210526,0.7685678974662068,68.42105263157895,100.0,40.0,0.8810895927232283,scenario47
2016.0,82.63157949243721,100.0,65.26315789473684,0.7813447782458622,68.42105263157895,100.0,40.0,0.9729540692886736,scenario48
1728.0,81.63742744608929,100.0,63.2748538011696,0.7017820295287421,63.1578947368421,100.0,30.0,0.9165995958915272,scenario49
2016.0,75.78947416653759,100.0,51.578947368421055,0.816594538095462,47.36842105263158,100.0,0.0,0.9267202083417344,scenario50
2016.0,80.5263163227784,100.0,61.05263157894737,0.7252845744945828,73.6842105263158,100.0,50.0,0.8467256917450648,scenario51
1920.0,65.58479568675945,100.0,31.16959064327485,0.8348395070353632,52.63157894736842,100.0,10.0,0.9745198934634454,scenario52
2016.0,83.36257365973373,100.0,66.72514619883042,0.7610365912171372,57.89473684210526,100.0,20.0,0.9379944396695354,scenario53
2016.0,70.9356729333338,100.0,41.87134502923977,0.8295872530967193,47.36842105263158,100.0,0.0,0.9297975799648284,scenario54
1280.0,50.00000019606791,100.0,0.0,0.8711320903334527,47.36842105263158,100.0,0.0,0.9547224908156772,scenario55
